,question,subject,main_entity,image_url
700,The original language of this book is,Disquisitiones Arithmeticae,this book,./A photo of Disquisitiones Arithmeticae
701,This composer performs on the,Robert Schumann,This composer,./A photo of Robert Schumann
702,This person was born in the city of,Masako Natsume,This person,./A photo of Masako Natsume
703,This person took up work in the,"Sir Charles Cayzer, 1st Baronet",This person,"./A photo of Sir Charles Cayzer, 1st Baronet"
704,This project works in the area of,Polymath project,This project,./A photo of Polymath project
705,The owner of this game studio is,Xbox Game Studios,this game,./A photo of Xbox Game Studios
706,This show debuted on,Fat Albert and the Cosby Kids,This show,./A photo of Fat Albert and the Cosby Kids
707,This presenter is employed by the,Jeremy Clarkson,This presenter,./A photo of Jeremy Clarkson
708,"This person, playing the",Paul McCartney,"This person,",./A photo of Paul McCartney
709,The language of this newspaper was a mixture of,La Hora,this newspaper,./A photo of La Hora
710,This person is employed by the,Alasdair Milne,This person,./A photo of Alasdair Milne
711,The native language of this person is,Roger Garaudy,this person,./A photo of Roger Garaudy
712,This person is employed by,Eddy Cue,This person,./A photo of Eddy Cue
713,The language used by this person is not the same as that used by the,Pierre de Marca,this person,./A photo of Pierre de Marca
714,This gaming console is developed by,Game Boy Advance,This gaming,./A photo of Game Boy Advance
715,This person's domain of work is the study of the,Arnold Hermann Ludwig Heeren,This person's,./A photo of Arnold Hermann Ludwig Heeren
716,The capital of this region is,Czech Socialist Republic,this region,./A photo of Czech Socialist Republic
717,This athlete professionally plays the sport of,Jackie Robinson,This athlete,./A photo of Jackie Robinson
718,This place is in the,Vierlingsbeek,This place,./A photo of Vierlingsbeek
719,"The genre played by this orchestra is a blend of classical,",Casa Loma Orchestra,this orchestra,./A photo of Casa Loma Orchestra
720,This research center is located in,Patuxent Wildlife Research Center,This research center,./A photo of Patuxent Wildlife Research Center
721,The original language of this opera is,Les Francs-juges,this opera,./A photo of Les Francs-juges
722,This person plays the,Elvis Presley,This person,./A photo of Elvis Presley
723,This show originally aired on the,Museum Secrets,This show,./A photo of Museum Secrets
724,"This person plays in the position of a forward, but they are also a",Dany N'Guessan,This person,./A photo of Dany N'Guessan
725,This processor is developed by,Pentium 4,This processor,./A photo of Pentium 4
726,This person's native language is,Laurent Lafitte,This person's,./A photo of Laurent Lafitte
727,This person is known for performing the first ever performance of the,Peter Josef von Lindpaintner,This person,./A photo of Peter Josef von Lindpaintner
728,This car model is developed by,Lexus ES,This car,./A photo of Lexus ES
729,This national park is located in,Rocky Mountain National Park,This national,./A photo of Rocky Mountain National Park
730,This historical state belongs to the continent of,United Kingdom of the Netherlands,This historical,./A photo of United Kingdom of the Netherlands
731,This city is located in the country of,Higashikagawa,This city,./A photo of Higashikagawa
732,The capital of this country is,Ireland,this country,./A photo of Ireland
733,This person is employed by,Angela Ahrendts,This person,./A photo of Angela Ahrendts
734,This special debuted on,A Charlie Brown Christmas,This special,./A photo of A Charlie Brown Christmas
735,This event premieres on the,Eurovision Song Contest 1960,This event,./A photo of Eurovision Song Contest 1960
736,This music format is developed by,Super Audio CD,This music,./A photo of Super Audio CD
737,This place was named for the,Delmarva Peninsula,This place,./A photo of Delmarva Peninsula
738,This person was born in,Hiroshi Tsuchida,This person,./A photo of Hiroshi Tsuchida
739,This person died in the city of,Michel Bernstein,This person,./A photo of Michel Bernstein
740,"This person, who has a citizenship of",Jan Machulski,"This person,",./A photo of Jan Machulski
741,This person plays in the position of a defensive,Mark Walters,This person,./A photo of Mark Walters
742,This wrestler is employed by,Triple H,This wrestler,./A photo of Triple H
743,This musician plays the,Howlin' Wolf,This musician,./A photo of Howlin' Wolf
744,This show premieres on,The Ed Sullivan Show,This show,./A photo of The Ed Sullivan Show
745,The headquarters of this organization are in,David Suzuki Foundation,this organization,./A photo of David Suzuki Foundation
746,The original language of this novel is,The Three Musketeers,this novel,./A photo of The Three Musketeers
747,This person worked in the city of,"Sir James Whitehead, 1st Baronet",This person,"./A photo of Sir James Whitehead, 1st Baronet"
748,"In this country, the language spoken is",Guyana,"this country,",./A photo of Guyana
749,"This person, who has a citizenship of",William McGillivray,"This person,",./A photo of William McGillivray
750,This glacier belongs to the continent of,Russell East Glacier,This glacier,./A photo of Russell East Glacier
751,This university can be found in the heart of the city of,Fryderyk Chopin University of Music,This university,./A photo of Fryderyk Chopin University of Music
752,"This series, that originated in",Orphan Black,"This series,",./A photo of Orphan Black
753,This show's original language is,The Voice Israel,This show's,./A photo of The Voice Israel
754,This company was founded in 1947 and is headquartered in,Samsung Electronics,This company,./A photo of Samsung Electronics
755,This highway is popular in the country of,Bundesautobahn 9,This highway,./A photo of Bundesautobahn 9
756,The native language of this person is,Alain Marleix,this person,./A photo of Alain Marleix
757,The capital of this state is,Maharashtra,this state,./A photo of Maharashtra
758,The native language of this person is,Nicolaas Pierson,this person,./A photo of Nicolaas Pierson
759,This mobile operating system is developed by,Windows Phone 8.1,This mobile,./A photo of Windows Phone 8.1
760,This company is a joint venture between,United Launch Alliance,This company,./A photo of United Launch Alliance
761,This person held the position of the first,Claude de Longwy de Givry,This person,./A photo of Claude de Longwy de Givry
762,This person passed away in the city of,Alexander Afanasyev,This person,./A photo of Alexander Afanasyev
763,This person died in the city of,Gilles Marie Oppenord,This person,./A photo of Gilles Marie Oppenord
764,This person was born in,Cosimo Fancelli,This person,./A photo of Cosimo Fancelli
765,"This record label is known for performing a wide variety of music, from rock to",Postcards Records,This record,./A photo of Postcards Records
766,This person is employed by the,Shane McMahon,This person,./A photo of Shane McMahon
767,This accessory is developed by,Wii MotionPlus,This accessory,./A photo of Wii MotionPlus
768,The genre played by this series is a mix of,Riverworld,this series,./A photo of Riverworld
769,"This series, that originated in",No Game No Life,"This series,",./A photo of No Game No Life
770,This organization was formed in 1999 by a group of,Sound Transit,This organization,./A photo of Sound Transit
771,This player plays in the position of a,Florent Cuvelier,This player,./A photo of Florent Cuvelier
772,This platform is developed by,Android TV,This platform,./A photo of Android TV
773,This person's domain of activity is the world of the,Jon Postel,This person's,./A photo of Jon Postel
774,This referendum is located in the northeastern region of,Catalan self-determination referendum,This referendum,./A photo of Catalan self-determination referendum
775,"This music group is known for performing a variety of styles of music, including",Rosenberg Trio,This music,./A photo of Rosenberg Trio
776,This person worked in the city of,Werner von Blomberg,This person,./A photo of Werner von Blomberg
777,This commentator is employed by the,Jonathan Pearce,This commentator,./A photo of Jonathan Pearce
778,This person was born in,Georges Rouault,This person,./A photo of Georges Rouault
779,"This collection of fables, that originated in",La Fontaine's Fables,This collection,./A photo of La Fontaine's Fables
780,This person's native language is,Yuliya Snigir,This person's,./A photo of Yuliya Snigir
781,This person is employed by the,Peter Fincham,This person,./A photo of Peter Fincham
782,This player professionally plays the sport of,Dominik Hašek,This player,./A photo of Dominik Hašek
783,The capital of this state is,Saxony,this state,./A photo of Saxony
784,This player professionally plays the sport of ice,Ilya Kovalchuk,This player,./A photo of Ilya Kovalchuk
785,This musician performs on the,George Gershwin,This musician,./A photo of George Gershwin
786,This person's domain of work is the study of the,Giorgi Melikishvili,This person's,./A photo of Giorgi Melikishvili
787,This composer performs on the,Johannes Brahms,This composer,./A photo of Johannes Brahms
788,This place belongs to the continent of,Grossman Nunataks,This place,./A photo of Grossman Nunataks
789,This book is about the,Il Postino: The Postman,This book,./A photo of Il Postino: The Postman
790,This artist's native language is,Giunta Pisano,This artist's,./A photo of Giunta Pisano
791,The headquarters of this institute are in,Lebedev Physical Institute,this institute,./A photo of Lebedev Physical Institute
792,"This person, who has a citizenship of",Linor Abargil,"This person,",./A photo of Linor Abargil
793,This monarch passed away in,Manuel I of Portugal,This monarch,./A photo of Manuel I of Portugal
794,This person plays in the position of a defensive,Ludovic Sylvestre,This person,./A photo of Ludovic Sylvestre
795,This musical duo formed in the year of,Brookes Brothers,This musical,./A photo of Brookes Brothers
796,This team belongs to the organization of the,Brazil national football team,This team,./A photo of Brazil national football team
797,This company was formed in 1882 and is headquartered in,Salvatore Ferragamo Italia S.p.A.,This company,./A photo of Salvatore Ferragamo Italia S.p.A.
798,"This person, whose position is that of a ""superior""",Leo XIII,"This person,",./A photo of Leo XIII
799,This newspaper is written in,El Diario de Hoy,This newspaper,./A photo of El Diario de Hoy
800,This person is a citizen of the country of,Chuwit Kamolvisit,This person,./A photo of Chuwit Kamolvisit
801,This software is developed by,Windows Live Mesh,This software,./A photo of Windows Live Mesh
802,This newspaper was written in the late 16th century by the,Il Secolo XIX,This newspaper,./A photo of Il Secolo XIX
803,This person passed away in a hospital in the city of,Buenaventura Durruti,This person,./A photo of Buenaventura Durruti
804,This gaming console was created by,Xbox,This gaming,./A photo of Xbox
805,This person works in the field of,John Calvin,This person,./A photo of John Calvin
806,The native language of this person is,Lee Chang-dong,this person,./A photo of Lee Chang-dong
807,The capital of this country is,Norway,this country,./A photo of Norway
808,This person was created in the country of his birth.,Chakrapani,This person,./A photo of Chakrapani
809,This place belongs to the continent of,Brown Peninsula,This place,./A photo of Brown Peninsula
810,This person is employed by,Satya Nadella,This person,./A photo of Satya Nadella
811,The native language of this person is,Henriette-Julie de Murat,this person,./A photo of Henriette-Julie de Murat
812,This person was born in the city of,Jacques-Jean Barre,This person,./A photo of Jacques-Jean Barre
813,This company is owned by,DeepMind,This company,./A photo of DeepMind
814,This band was created in the country of its birth.,Young Canadians,This band,./A photo of Young Canadians
815,This show premieres on,Criminal Minds,This show,./A photo of Criminal Minds
816,This person is affiliated with the religion of,Abdalqadir as-Sufi,This person,./A photo of Abdalqadir as-Sufi
817,"This person, whose position is that of a ""superior""",Clement VIII,"This person,",./A photo of Clement VIII
818,This scientist works in the area of,Galileo Galilei,This scientist,./A photo of Galileo Galilei
819,This application was created by the same company that created the original,Newsstand,This application,./A photo of Newsstand
820,"In this country, the language spoken is a mixture of",Papua New Guinea,"this country,",./A photo of Papua New Guinea
821,The headquarters of this organization are in,Co-operative Commonwealth Federation (Ontario Section),this organization,./A photo of Co-operative Commonwealth Federation (Ontario Section)
822,"This person, who has a citizenship of",Sola Aoi,"This person,",./A photo of Sola Aoi
823,This character premieres on,Sherlock Holmes,This character,./A photo of Sherlock Holmes
824,This product is owned by,Chromebook,This product,./A photo of Chromebook
825,This mountain is located in the continent of,Mount Foster,This mountain,./A photo of Mount Foster
826,This person is employed by the,Philip Mould,This person,./A photo of Philip Mould
827,This company formed in 1978 and is headquartered in,The Home Depot,This company,./A photo of The Home Depot
828,This district is located in the country of,Now Kandeh District,This district,./A photo of Now Kandeh District
829,"This artist is known for performing in a variety of genres, from rock to",Chris McGregor,This artist,./A photo of Chris McGregor
830,This series debuted on,Freaks and Geeks,This series,./A photo of Freaks and Geeks
831,This person's domain of activity is the field of,Gerolamo Cardano,This person's,./A photo of Gerolamo Cardano
832,This drink was created in the country of its origin.,Limoncello,This drink,./A photo of Limoncello
833,This territory belongs to the continent of,Australian Antarctic Territory,This territory,./A photo of Australian Antarctic Territory
834,This person died in the city of,Marcellin Berthelot,This person,./A photo of Marcellin Berthelot
835,The location of this tower is in the heart of,Lotte World Tower,this tower,./A photo of Lotte World Tower
836,This person was born in the city of,Iiro Rantala,This person,./A photo of Iiro Rantala
837,This palace is located in the heart of the city of,Charlottenborg Palace,This palace,./A photo of Charlottenborg Palace
838,This city belongs to the continent of,Paris,This city,./A photo of Paris
839,This person is employed by the,Jon Ronson,This person,./A photo of Jon Ronson
840,This player professionally plays the sport of,Evgeni Malkin,This player,./A photo of Evgeni Malkin
841,This company is located in the country of,JVC Kenwood Victor Entertainment,This company,./A photo of JVC Kenwood Victor Entertainment
842,This person died in the city of,Charlie Conacher,This person,./A photo of Charlie Conacher
843,This person's domain of work is the study of the history of the,David Crystal,This person's,./A photo of David Crystal
844,This device is developed by,Chromecast,This device,./A photo of Chromecast
845,This work was created in the country of,Dronningens vagtmester,This work,./A photo of Dronningens vagtmester
846,The native language of this person is,Gabrielle Fontan,this person,./A photo of Gabrielle Fontan
847,This musician passed away in,Sviatoslav Knushevitsky,This musician,./A photo of Sviatoslav Knushevitsky
848,"In this town, the language spoken is",Kauniainen,"this town,",./A photo of Kauniainen
849,This glacier belongs to the continent of,Pitkevitch Glacier,This glacier,./A photo of Pitkevitch Glacier
850,This team is affiliated with the,Italy national football team,This team,./A photo of Italy national football team
851,This person was born in the city of,Hajime Mizoguchi,This person,./A photo of Hajime Mizoguchi
852,This inlet is located in the country of,Jervis Inlet,This inlet,./A photo of Jervis Inlet
853,This person is employed by,Stephen Elop,This person,./A photo of Stephen Elop
854,This place belongs to the continent of,Melilla,This place,./A photo of Melilla
855,This person was born in,Richard Rawlinson,This person,./A photo of Richard Rawlinson
856,This person follows the religion of,Pervez Musharraf,This person,./A photo of Pervez Musharraf
857,This place is located in the country of,"North Middlesex, Ontario",This place,"./A photo of North Middlesex, Ontario"
858,This place is located in the,Vale of Glamorgan,This place,./A photo of Vale of Glamorgan
859,This person worked in the city of,Jean-Jacques Grunenwald,This person,./A photo of Jean-Jacques Grunenwald
860,The headquarter of this airline company is in,United Continental Holdings,this airline,./A photo of United Continental Holdings
861,The capital of this historical state is,Weimar Republic,this historical,./A photo of Weimar Republic
862,This person holds the position of the first,Pelagius II,This person,./A photo of Pelagius II
863,This journalist is employed by the,Simon McCoy,This journalist,./A photo of Simon McCoy
864,The headquarter of this company is in,RioCan Real Estate Investment Trust,this company,./A photo of RioCan Real Estate Investment Trust
865,This show premieres on,Wednesday Night Baseball,This show,./A photo of Wednesday Night Baseball
866,This country belongs to the continent of,Thailand,This country,./A photo of Thailand
867,This person's profession is an,Jung Ryeo-won,This person's,./A photo of Jung Ryeo-won
868,This philosopher died in the city of,Montesquieu,This philosopher,./A photo of Montesquieu
869,This publication is written in the,France Dimanche,This publication,./A photo of France Dimanche
870,The capital of this country is,Ukraine,this country,./A photo of Ukraine
871,This person is affiliated with the religion of,Babur,This person,./A photo of Babur
872,The headquarter of this military branch is in,Soviet Air Defence Forces,this military,./A photo of Soviet Air Defence Forces
873,"In this region, the language spoken is",State of Brazil,"this region,",./A photo of State of Brazil
874,This place is located in the country of,Panagarh,This place,./A photo of Panagarh
875,This place is named for the,Pointe Coupee Parish,This place,./A photo of Pointe Coupee Parish
876,"This album is known for performing a variety of styles of music, including",Soultrane,This album,./A photo of Soultrane
877,This processor is developed by,Xeon,This processor,./A photo of Xeon
878,This person passed away in the city of,Giacomo Barozzi da Vignola,This person,./A photo of Giacomo Barozzi da Vignola
879,This hospital is located in the country of,"Medical College and Hospital, Kolkata",This hospital,"./A photo of Medical College and Hospital, Kolkata"
880,"This brand, from the same company that makes the",Nismo,"This brand,",./A photo of Nismo
881,This person has a citizenship of the country of,Maurice Bellemare,This person,./A photo of Maurice Bellemare
882,This person worked in the office of the mayor of the city of,Newton Moore,This person,./A photo of Newton Moore
883,This character is affiliated with the,Namor,This character,./A photo of Namor
884,"This person, who has a citizenship of",Caterina Davinio,"This person,",./A photo of Caterina Davinio
885,This person plays the,Antonio Vivaldi,This person,./A photo of Antonio Vivaldi
886,This person is a citizen of,Sakichi Toyoda,This person,./A photo of Sakichi Toyoda
887,"This person, of",Adam Schefter,"This person,",./A photo of Adam Schefter
888,This newspaper is written in,Le Petit Parisien,This newspaper,./A photo of Le Petit Parisien
889,This place is a twin city of,Nicosia,This place,./A photo of Nicosia
890,"In this person, the native language is",Mathieu de Montmorency,"this person,",./A photo of Mathieu de Montmorency
891,This person's native language is,Pierre Daniel Huet,This person's,./A photo of Pierre Daniel Huet
892,This person's native language is,Pierre Lescure,This person's,./A photo of Pierre Lescure
893,This person is employed by,Dan Le Batard,This person,./A photo of Dan Le Batard
894,The original language of this film is a,Neethaane En Ponvasantham,this film,./A photo of Neethaane En Ponvasantham
895,"This car model, produced by",Alfa Romeo 155,This car model,./A photo of Alfa Romeo 155
896,The headquarters of this political party are in,Polish Socialist Party,this political,./A photo of Polish Socialist Party
897,This person professionally plays the sport of,Ryan Smyth,This person,./A photo of Ryan Smyth
898,"This person, who plays the title role in the",Andrew Lloyd Webber,"This person,",./A photo of Andrew Lloyd Webber
899,This artist is native to the city of,Killer Mike,This artist,./A photo of Killer Mike
900,This organization is located in,CERN,This organization,./A photo of CERN
901,This person is native to,Kang Ji-hwan,This person,./A photo of Kang Ji-hwan
902,"This highway, by the way, is the most popular route in",Bundesautobahn 6,"This highway,",./A photo of Bundesautobahn 6
903,The language used by this person is a mixture of,Musa Manarov,this person,./A photo of Musa Manarov
904,"This comedy duo was created in the country of their birth,",Ylvis,This comedy,./A photo of Ylvis
905,This person worked in the city of,Friedrich Goldmann,This person,./A photo of Friedrich Goldmann
906,This pope died in the city of,Pius III,This pope,./A photo of Pius III
907,This device is developed by,iPhone 1,This device,./A photo of iPhone 1
908,This show premieres on,Mike & Molly,This show,./A photo of Mike & Molly
909,This show debuted on the,The Thin Blue Line,This show,./A photo of The Thin Blue Line
910,This person is affiliated with the religion of,Mir Damad,This person,./A photo of Mir Damad
911,"In this country, the language spoken is a mix of",Palau,"this country,",./A photo of Palau
912,This company formed in 1886 and is headquartered in,The Coca-Cola Company,This company,./A photo of The Coca-Cola Company
913,The capital of this historical territory is,Khedivate of Egypt,this historical,./A photo of Khedivate of Egypt
914,This person works in the area of cognitive,Amos Tversky,This person,./A photo of Amos Tversky
915,"In this place, the language spoken is",Canton of Fribourg,"this place,",./A photo of Canton of Fribourg
916,This person's domain of work is the,Edward Gibbon,This person's,./A photo of Edward Gibbon
917,This person died in the city of,Charles Nodier,This person,./A photo of Charles Nodier
918,The owner of this email service is,Outlook.com,this email,./A photo of Outlook.com
919,The original language of this series is,Der kleine Vampir,this series,./A photo of Der kleine Vampir
920,The official language of this country is,Kenya,this country,./A photo of Kenya
921,This series was created in the country of,Inuyasha,This series,./A photo of Inuyasha
922,This person is affiliated with the religion of,Yusuf al-Qaradawi,This person,./A photo of Yusuf al-Qaradawi
923,This album's language was used by the,Ni es lo mismo ni es igual,This album's,./A photo of Ni es lo mismo ni es igual
924,This version of the software is developed by,Windows Internet Explorer 8,This version,./A photo of Windows Internet Explorer 8
925,This film was created in the country of,Sangamam,This film,./A photo of Sangamam
926,This person is a citizen of,Eiko Shimamiya,This person,./A photo of Eiko Shimamiya
927,This musician is known for performing the first ever live performance of the,Krzysztof Meyer,This musician,./A photo of Krzysztof Meyer
928,This county can be found in the southeast corner of,Kalamazoo County,This county,./A photo of Kalamazoo County
929,This technology is a product developed by,Active Server Pages,This technology,./A photo of Active Server Pages
930,This mountain is located in the continent of,Mount Discovery,This mountain,./A photo of Mount Discovery
931,This organization is owned by the,Florida Championship Wrestling,This organization,./A photo of Florida Championship Wrestling
932,The capital of this empire is,Latin Empire,this empire,./A photo of Latin Empire
933,This person professionally plays the sport of,Herculez Gomez,This person,./A photo of Herculez Gomez
934,This show premieres on,College Football Live,This show,./A photo of College Football Live
935,This person writes in the,Jean-Pierre Petit,This person,./A photo of Jean-Pierre Petit
936,This person worked in the city of,Jules Moch,This person,./A photo of Jules Moch
937,This person uses a language that is a clear reference to the,"Pedro Caro, 3rd Marquis of la Romana",This person,"./A photo of Pedro Caro, 3rd Marquis of la Romana"
938,This person's native language is,Luc Besson,This person's,./A photo of Luc Besson
939,This newspaper is written in,La Voz del Interior,This newspaper,./A photo of La Voz del Interior
940,This show premieres on,NBA Shootaround,This show,./A photo of NBA Shootaround
941,This company was formed in 1975 and is headquartered in,Nikon,This company,./A photo of Nikon
942,This service is owned by,Flickr,This service,./A photo of Flickr
943,The headquarter of this company is in the heart of downtown,BC Hydro,this company,./A photo of BC Hydro
944,"This person, whose position is that of a ""superior""",Gregory XIII,"This person,",./A photo of Gregory XIII
945,This laptop is developed by,Chromebook Pixel,This laptop,./A photo of Chromebook Pixel
946,This musician plays the instrument of the,Giovanni Battista Viotti,This musician,./A photo of Giovanni Battista Viotti
947,This service is owned by,Bing Videos,This service,./A photo of Bing Videos
948,This person speaks to the media after the,Willem Wilmink,This person,./A photo of Willem Wilmink
949,This person's native language is,Corinne Calvet,This person's,./A photo of Corinne Calvet
950,This software is a product developed by,ActiveSync,This software,./A photo of ActiveSync
951,The capital of this country is,Denmark,this country,./A photo of Denmark
952,This person is employed by,Steve Jobs,This person,./A photo of Steve Jobs
953,This lake belongs to the continent of,Lake Vostok,This lake,./A photo of Lake Vostok
954,The genre played by this band is a blend of,Eureka Brass Band,this band,./A photo of Eureka Brass Band
955,This laptop is developed by,MacBook Air,This laptop,./A photo of MacBook Air
956,This show premieres on,Late Night with Jimmy Fallon,This show,./A photo of Late Night with Jimmy Fallon
957,This person worked in the city of,Gro Harlem Brundtland,This person,./A photo of Gro Harlem Brundtland
958,This musician performs on the,Leonard Bernstein,This musician,./A photo of Leonard Bernstein
959,This glacier belongs to the continent of,Northwind Glacier,This glacier,./A photo of Northwind Glacier
960,This system is developed by,CarPlay,This system,./A photo of CarPlay
961,This person's native language is,Guy Drut,This person's,./A photo of Guy Drut
962,This show premieres on,The Lead with Jake Tapper,This show,./A photo of The Lead with Jake Tapper
963,The original language of this show is a mixture of,Uutisvuoto,this show,./A photo of Uutisvuoto
964,This ruler follows the religion of,Akbar,This ruler,./A photo of Akbar
965,This person's native language is,Aleksey Khomyakov,This person's,./A photo of Aleksey Khomyakov
966,This person passed away in,Pierre Contant d'Ivry,This person,./A photo of Pierre Contant d'Ivry
967,This person speaks to the media after the first round of the,Alain Touraine,This person,./A photo of Alain Touraine
968,"This person, who has a citizenship of",Ritt Bjerregaard,"This person,",./A photo of Ritt Bjerregaard
969,The headquarter of this association is in,Chinese Skating Association,this association,./A photo of Chinese Skating Association
970,This place belongs to the continent of,Wallonia,This place,./A photo of Wallonia
971,This team is a part of the,United States men's national soccer team,This team,./A photo of United States men's national soccer team
972,This person professionally plays the sport of,José Canseco,This person,./A photo of José Canseco
973,This text originates in the language of,Sadratnamala,This text,./A photo of Sadratnamala
974,This player professionally plays the sport of,Stephen Curry,This player,./A photo of Stephen Curry
975,This video game is developed by,Final Fantasy III,This video,./A photo of Final Fantasy III
976,This university is located in the country of,Brandon University,This university,./A photo of Brandon University
977,This newspaper is written in the,Le Matin de Paris,This newspaper,./A photo of Le Matin de Paris
978,"This software, created by the same people who created the",iTunes Remote,"This software,",./A photo of iTunes Remote
979,"This person, who has a citizenship of the country of",Gianni Lancia,"This person,",./A photo of Gianni Lancia
980,This person works for the,Mishal Husain,This person,./A photo of Mishal Husain
981,This artist took up work in the,Henri de Toulouse-Lautrec,This artist,./A photo of Henri de Toulouse-Lautrec
982,This glacier belongs to the continent of,Kaliakra Glacier,This glacier,./A photo of Kaliakra Glacier
983,This player plays in the position of a,D'Qwell Jackson,This player,./A photo of D'Qwell Jackson
984,The capital of this caliphate is the city of,Fatimid caliphate,this caliphate,./A photo of Fatimid caliphate
985,The language used by this person is a good example of the way in which the,"Claude Henri de Rouvroy, comte de Saint-Simon",this person,"./A photo of Claude Henri de Rouvroy, comte de Saint-Simon"
986,The headquarter of this political party is in,Italian Social Movement,this political,./A photo of Italian Social Movement
987,This person is a citizen of,Yuki Uchida,This person,./A photo of Yuki Uchida
988,This person is a citizen of,Dawid Janowski,This person,./A photo of Dawid Janowski
989,This person holds the title of the first,Basil of Caesarea,This person,./A photo of Basil of Caesarea
990,"This composer, performing on the",Edvard Grieg,"This composer,",./A photo of Edvard Grieg
991,The native language of this person is,Paul Klebnikov,this person,./A photo of Paul Klebnikov
992,This company is owned by,Mojang,This company,./A photo of Mojang
993,This person died in the city of,Giovanni di Bicci de' Medici,This person,./A photo of Giovanni di Bicci de' Medici
994,The capital of this kingdom is,Kingdom of Bavaria,this kingdom,./A photo of Kingdom of Bavaria
995,This person died in the city of,Jean-Joseph de Mondonville,This person,./A photo of Jean-Joseph de Mondonville
996,This person was born in the city of,Daniele Franceschini,This person,./A photo of Daniele Franceschini
997,"This record label is known for performing a wide variety of genres, from rock to",Progressive Records,This record,./A photo of Progressive Records
998,The location of this tennis tournament is in the heart of,2011 Australian Open,this tennis,./A photo of 2011 Australian Open
999,This person worked in the city of,"Nancy Astor, Viscountess Astor",This person,"./A photo of Nancy Astor, Viscountess Astor"
1000,This building is owned by the,Broadcasting House,This building,./A photo of Broadcasting House
1001,The capital of this former state is,Kingdom of Great Britain,this former,./A photo of Kingdom of Great Britain
1002,The original language of this book is a mixture of,Celia en el colegio,this book,./A photo of Celia en el colegio
1003,This athlete plays in the position of,Jason Campbell,This athlete,./A photo of Jason Campbell
1004,"This artist, playing the electric",Jimi Hendrix,"This artist,",./A photo of Jimi Hendrix
1005,This event occurred in the city of,1993 Bombay bombings,This event,./A photo of 1993 Bombay bombings
1006,This building is located in the country of,Taksim Military Barracks,This building,./A photo of Taksim Military Barracks
1007,This person works in the area of,Leonard Peikoff,This person,./A photo of Leonard Peikoff
1008,"This person, who works as a",Halle Berry,"This person,",./A photo of Halle Berry
1009,The native language of this person is,Claude Bernard,this person,./A photo of Claude Bernard
1010,"This car model, developed by",Datsun Sports,This car,./A photo of Datsun Sports
1011,This economist's domain of work is the,Ludwig von Mises,This economist's,./A photo of Ludwig von Mises
1012,This person died in the city of,Lorenzo Perosi,This person,./A photo of Lorenzo Perosi
1013,This person's domain of work is the study of the,Granius Licinianus,This person's,./A photo of Granius Licinianus
1014,This show debuted on,The Jack Benny Program,This show,./A photo of The Jack Benny Program
1015,This car model is developed by,Acura RL,This car,./A photo of Acura RL
1016,This person took up work in the,"George Cadogan, 5th Earl Cadogan",This person,"./A photo of George Cadogan, 5th Earl Cadogan"
1017,This person worked in the city of,Renata Polverini,This person,./A photo of Renata Polverini
1018,"This person, who has a citizenship of",Daniel Victor,"This person,",./A photo of Daniel Victor
1019,This political party is located in the country of,Alberta Alliance Party,This political,./A photo of Alberta Alliance Party
1020,This company is headquartered in,Melodiya,This company,./A photo of Melodiya
1021,"This person, who works as a",Sunny Hundal,"This person,",./A photo of Sunny Hundal
1022,This musician's domain of work is the,John Coltrane,This musician's,./A photo of John Coltrane
1023,This educational institution is affiliated with the religion of,Reconstructionist Rabbinical College,This educational institution,./A photo of Reconstructionist Rabbinical College
1024,This athlete plays in the position of,Pekka Rinne,This athlete,./A photo of Pekka Rinne
1025,This street was created in the country of,Avenue Montaigne,This street,./A photo of Avenue Montaigne
1026,"In this place, the language spoken is a dialect of",Pomarkku,"this place,",./A photo of Pomarkku
1027,This show premieres on,The New Andy Griffith Show,This show,./A photo of The New Andy Griffith Show
1028,This person works in the field of electromagnetism and is a professor of,Michael Faraday,This person,./A photo of Michael Faraday
1029,This person worked in the city of,Marie François Oscar Bardy de Fourtou,This person,./A photo of Marie François Oscar Bardy de Fourtou
1030,The public transport in this city is located in the country of,public transport in Istanbul,this city,./A photo of public transport in Istanbul
1031,This person is affiliated with the religion of,Muhammad Asad,This person,./A photo of Muhammad Asad
1032,This show premieres on,The Dick Van Dyke Show,This show,./A photo of The Dick Van Dyke Show
1033,This person's native language is,Michel Modo,This person's,./A photo of Michel Modo
1034,This person is a citizen of,Marcin Libicki,This person,./A photo of Marcin Libicki
1035,The capital of this state is,Massachusetts,this state,./A photo of Massachusetts
1036,This car model is developed by,Acura EL,This car,./A photo of Acura EL
1037,"This person holds the title of ""the most powerful",Paul IV,This person,./A photo of Paul IV
1038,This person's native language is,Irina Khakamada,This person's,./A photo of Irina Khakamada
1039,This person works for,Nathan Myhrvold,This person,./A photo of Nathan Myhrvold
1040,"In this state, the language spoken is a mixture of",Indiana,"this state,",./A photo of Indiana
1041,This team is a part of the,Mexico national football team,This team,./A photo of Mexico national football team
1042,This society's expertise is in the areas of,Edinburgh Mathematical Society,This society's,./A photo of Edinburgh Mathematical Society
1043,This show premieres on,The Amazing Race,This show,./A photo of The Amazing Race
1044,This person was born in the city of,Semyon Vorontsov,This person,./A photo of Semyon Vorontsov
1045,"This musician, playing the",Thelonious Monk,"This musician,",./A photo of Thelonious Monk
