,question,director,main_entity,image_url
1543,Name a movie directed by this director?,Susanna White,this director,./A photo of Susanna White
1544,Name a movie directed by this director?,Bo Zenga,this director,./A photo of Bo Zenga
1545,Name a movie directed by this director?,Leigh Janiak,this director,./A photo of Leigh Janiak
1546,Name a movie directed by this director?,Clarence Brown,this director,./A photo of Clarence Brown
1547,Name a movie directed by this director?,Marco Kreuzpaintner,this director,./A photo of Marco Kreuzpaintner
1548,Name a movie directed by this director?,Yann Demange,this director,./A photo of Yann Demange
1549,Name a movie directed by this director?,John Wayne,this director,./A photo of John Wayne
1550,Name a movie directed by this director?,Ralph S. Singleton,this director,./A photo of Ralph S. Singleton
1551,Name a movie directed by this director?,Bertrand Bonello,this director,./A photo of Bertrand Bonello
1552,Name a movie directed by this director?,Víctor Erice,this director,./A photo of Víctor Erice
1553,Name a movie directed by this director?,Charles Guard,this director,./A photo of Charles Guard
1554,Name a movie directed by this director?,Khwaja Ahmad Abbas,this director,./A photo of Khwaja Ahmad Abbas
1555,Name a movie directed by this director?,Nakoula Basseley Nakoula,this director,./A photo of Nakoula Basseley Nakoula
1556,Name a movie directed by this director?,Meir Zarchi,this director,./A photo of Meir Zarchi
1557,Name a movie directed by this director?,Elliott Lester,this director,./A photo of Elliott Lester
1558,Name a movie directed by this director?,Jean-Jacques Vierne,this director,./A photo of Jean-Jacques Vierne
1559,Name a movie directed by this director?,Rob Letterman,this director,./A photo of Rob Letterman
1560,Name a movie directed by this director?,Alex van Warmerdam,this director,./A photo of Alex van Warmerdam
1561,Name a movie directed by this director?,Clea DuVall,this director,./A photo of Clea DuVall
1562,Name a movie directed by this director?,Joseph Vilsmaier,this director,./A photo of Joseph Vilsmaier
1563,Name a movie directed by this director?,Everardo Gout,this director,./A photo of Everardo Gout
1564,Name a movie directed by this director?,Julie Taymor,this director,./A photo of Julie Taymor
1565,Name a movie directed by this director?,Po-Chih Leong,this director,./A photo of Po-Chih Leong
1566,Name a movie directed by this director?,Grigori Kromanov,this director,./A photo of Grigori Kromanov
1567,Name a movie directed by this director?,Gene Saks,this director,./A photo of Gene Saks
1568,Name a movie directed by this director?,John Murray Anderson,this director,./A photo of John Murray Anderson
1569,Name a movie directed by this director?,Tom Gries,this director,./A photo of Tom Gries
1570,Name a movie directed by this director?,Ousmane Sembène,this director,./A photo of Ousmane Sembène
1571,Name a movie directed by this director?,Hrishikesh Mukherjee,this director,./A photo of Hrishikesh Mukherjee
1572,Name a movie directed by this director?,Jason Zada,this director,./A photo of Jason Zada
1573,Name a movie directed by this director?,Dan Kwan,this director,./A photo of Dan Kwan
1574,Name a movie directed by this director?,Pavel Chukhray,this director,./A photo of Pavel Chukhray
1575,Name a movie directed by this director?,Darren Aronofsky,this director,./A photo of Darren Aronofsky
1576,Name a movie directed by this director?,Alexander Rou,this director,./A photo of Alexander Rou
1577,Name a movie directed by this director?,Trey Parker,this director,./A photo of Trey Parker
1578,Name a movie directed by this director?,Bernard L. Kowalski,this director,./A photo of Bernard L. Kowalski
1579,Name a movie directed by this director?,Todd Haynes,this director,./A photo of Todd Haynes
1580,Name a movie directed by this director?,Martin Brest,this director,./A photo of Martin Brest
1581,Name a movie directed by this director?,Chris McKay,this director,./A photo of Chris McKay
1582,Name a movie directed by this director?,James Kent,this director,./A photo of James Kent
1583,Name a movie directed by this director?,William Wiard,this director,./A photo of William Wiard
1584,Name a movie directed by this director?,Alex Hardcastle,this director,./A photo of Alex Hardcastle
1585,Name a movie directed by this director?,James Mather,this director,./A photo of James Mather
1586,Name a movie directed by this director?,Mark Steven Johnson,this director,./A photo of Mark Steven Johnson
1587,Name a movie directed by this director?,Anubhav Sinha,this director,./A photo of Anubhav Sinha
1588,Name a movie directed by this director?,James Orr,this director,./A photo of James Orr
1589,Name a movie directed by this director?,Hiroshi Teshigahara,this director,./A photo of Hiroshi Teshigahara
1590,Name a movie directed by this director?,F. Gary Gray,this director,./A photo of F. Gary Gray
1591,Name a movie directed by this director?,William Cottrell,this director,./A photo of William Cottrell
1592,Name a movie directed by this director?,Valery Todorovsky,this director,./A photo of Valery Todorovsky
1593,Name a movie directed by this director?,Jack Hill,this director,./A photo of Jack Hill
1594,Name a movie directed by this director?,Jonathan Liebesman,this director,./A photo of Jonathan Liebesman
1595,Name a movie directed by this director?,James L. Brooks,this director,./A photo of James L. Brooks
1596,Name a movie directed by this director?,Ian MacNaughton,this director,./A photo of Ian MacNaughton
1597,Name a movie directed by this director?,Thomas Carter,this director,./A photo of Thomas Carter
1598,Name a movie directed by this director?,Max Mayer,this director,./A photo of Max Mayer
1599,Name a movie directed by this director?,Deon Taylor,this director,./A photo of Deon Taylor
1600,Name a movie directed by this director?,Agnieszka Wojtowicz-Vosloo,this director,./A photo of Agnieszka Wojtowicz-Vosloo
1601,Name a movie directed by this director?,Bryan Bertino,this director,./A photo of Bryan Bertino
1602,Name a movie directed by this director?,Derek Tsang,this director,./A photo of Derek Tsang
1603,Name a movie directed by this director?,Ben Garant,this director,./A photo of Ben Garant
1604,Name a movie directed by this director?,Aleksandr Voytinskiy,this director,./A photo of Aleksandr Voytinskiy
1605,Name a movie directed by this director?,Marcus Nispel,this director,./A photo of Marcus Nispel
1606,Name a movie directed by this director?,Brandon Camp,this director,./A photo of Brandon Camp
1607,Name a movie directed by this director?,David Miller,this director,./A photo of David Miller
1608,Name a movie directed by this director?,Stephen Gaghan,this director,./A photo of Stephen Gaghan
1609,Name a movie directed by this director?,Pekka Parikka,this director,./A photo of Pekka Parikka
1610,Name a movie directed by this director?,Carl Schenkel,this director,./A photo of Carl Schenkel
1611,Name a movie directed by this director?,Veronika Franz,this director,./A photo of Veronika Franz
1612,Name a movie directed by this director?,Dante Lam,this director,./A photo of Dante Lam
1613,Name a movie directed by this director?,Christian Gudegast,this director,./A photo of Christian Gudegast
1614,Name a movie directed by this director?,Jean-Claude Brisseau,this director,./A photo of Jean-Claude Brisseau
1615,Name a movie directed by this director?,Ayan Mukerji,this director,./A photo of Ayan Mukerji
1616,Name a movie directed by this director?,Joseph Strick,this director,./A photo of Joseph Strick
1617,Name a movie directed by this director?,Abel Ferrara,this director,./A photo of Abel Ferrara
1618,Name a movie directed by this director?,Bertrand Tavernier,this director,./A photo of Bertrand Tavernier
1619,Name a movie directed by this director?,David Gelb,this director,./A photo of David Gelb
1620,Name a movie directed by this director?,Ray Harryhausen,this director,./A photo of Ray Harryhausen
1621,Name a movie directed by this director?,Don Michael Paul,this director,./A photo of Don Michael Paul
1622,Name a movie directed by this director?,Patrick Alessandrin,this director,./A photo of Patrick Alessandrin
1623,Name a movie directed by this director?,János Szász,this director,./A photo of János Szász
1624,Name a movie directed by this director?,Jessica M. Thompson,this director,./A photo of Jessica M. Thompson
1625,Name a movie directed by this director?,John Whitesell,this director,./A photo of John Whitesell
1626,Name a movie directed by this director?,Anders Thomas Jensen,this director,./A photo of Anders Thomas Jensen
1627,Name a movie directed by this director?,Paul King,this director,./A photo of Paul King
1628,Name a movie directed by this director?,Nimród Antal,this director,./A photo of Nimród Antal
1629,Name a movie directed by this director?,Sidney Lumet,this director,./A photo of Sidney Lumet
1630,Name a movie directed by this director?,Arne Mattsson,this director,./A photo of Arne Mattsson
1631,Name a movie directed by this director?,Robert Benton,this director,./A photo of Robert Benton
1632,Name a movie directed by this director?,Bobby Farrelly,this director,./A photo of Bobby Farrelly
1633,Name a movie directed by this director?,Óliver Laxe,this director,./A photo of Óliver Laxe
1634,Name a movie directed by this director?,Naji Abu Nowar,this director,./A photo of Naji Abu Nowar
1635,Name a movie directed by this director?,Aleksandr Alov,this director,./A photo of Aleksandr Alov
1636,Name a movie directed by this director?,Vincenzo Natali,this director,./A photo of Vincenzo Natali
1637,Name a movie directed by this director?,Morgan Neville,this director,./A photo of Morgan Neville
1638,Name a movie directed by this director?,Werner Herzog,this director,./A photo of Werner Herzog
1639,Name a movie directed by this director?,Mike Leigh,this director,./A photo of Mike Leigh
1640,Name a movie directed by this director?,Jennifer Lynch,this director,./A photo of Jennifer Lynch
1641,Name a movie directed by this director?,Damien O'Donnell,this director,./A photo of Damien O'Donnell
1642,Name a movie directed by this director?,Milan Luthria,this director,./A photo of Milan Luthria
1643,Name a movie directed by this director?,Gus Meins,this director,./A photo of Gus Meins
1644,Name a movie directed by this director?,Rahul Rawail,this director,./A photo of Rahul Rawail
1645,Name a movie directed by this director?,Buddy Van Horn,this director,./A photo of Buddy Van Horn
1646,Name a movie directed by this director?,Vikas Bahl,this director,./A photo of Vikas Bahl
1647,Name a movie directed by this director?,David Petrarca,this director,./A photo of David Petrarca
1648,Name a movie directed by this director?,Peter Sattler,this director,./A photo of Peter Sattler
1649,Name a movie directed by this director?,Michel Debats,this director,./A photo of Michel Debats
1650,Name a movie directed by this director?,Olivier Dahan,this director,./A photo of Olivier Dahan
1651,Name a movie directed by this director?,Kristoffer Nyholm,this director,./A photo of Kristoffer Nyholm
1652,Name a movie directed by this director?,Bruce Malmuth,this director,./A photo of Bruce Malmuth
1653,Name a movie directed by this director?,Christopher Smith,this director,./A photo of Christopher Smith
1654,Name a movie directed by this director?,Michael Jackson,this director,./A photo of Michael Jackson
1655,Name a movie directed by this director?,Teona Strugar Mitevska,this director,./A photo of Teona Strugar Mitevska
1656,Name a movie directed by this director?,Kaouther Ben Hania,this director,./A photo of Kaouther Ben Hania
1657,Name a movie directed by this director?,Joshua Logan,this director,./A photo of Joshua Logan
1658,Name a movie directed by this director?,Leonid Gaidai,this director,./A photo of Leonid Gaidai
1659,Name a movie directed by this director?,Chris Roberts,this director,./A photo of Chris Roberts
1660,Name a movie directed by this director?,Arne Skouen,this director,./A photo of Arne Skouen
1661,Name a movie directed by this director?,Joseph Bologna,this director,./A photo of Joseph Bologna
1662,Name a movie directed by this director?,Bavo Defurne,this director,./A photo of Bavo Defurne
1663,Name a movie directed by this director?,Stephen Norrington,this director,./A photo of Stephen Norrington
1664,Name a movie directed by this director?,David Steiman,this director,./A photo of David Steiman
1665,Name a movie directed by this director?,Melanie Mayron,this director,./A photo of Melanie Mayron
1666,Name a movie directed by this director?,Rudolph Maté,this director,./A photo of Rudolph Maté
1667,Name a movie directed by this director?,Andreas Prochaska,this director,./A photo of Andreas Prochaska
1668,Name a movie directed by this director?,King Hu,this director,./A photo of King Hu
1669,Name a movie directed by this director?,Fran Rubel Kuzui,this director,./A photo of Fran Rubel Kuzui
1670,Name a movie directed by this director?,Claude Autant-Lara,this director,./A photo of Claude Autant-Lara
1671,Name a movie directed by this director?,D. W. Griffith,this director,./A photo of D. W. Griffith
1672,Name a movie directed by this director?,Mitsuo Hashimoto,this director,./A photo of Mitsuo Hashimoto
1673,Name a movie directed by this director?,Nate Parker,this director,./A photo of Nate Parker
1674,Name a movie directed by this director?,Walt Becker,this director,./A photo of Walt Becker
1675,Name a movie directed by this director?,Oleg Trofim,this director,./A photo of Oleg Trofim
1676,Name a movie directed by this director?,Guy Ritchie,this director,./A photo of Guy Ritchie
1677,Name a movie directed by this director?,Matthew Chapman,this director,./A photo of Matthew Chapman
1678,Name a movie directed by this director?,Kasi Lemmons,this director,./A photo of Kasi Lemmons
1679,Name a movie directed by this director?,Delmer Daves,this director,./A photo of Delmer Daves
1680,Name a movie directed by this director?,Stuart Heisler,this director,./A photo of Stuart Heisler
1681,Name a movie directed by this director?,Brian Gilbert,this director,./A photo of Brian Gilbert
1682,Name a movie directed by this director?,Guy Green,this director,./A photo of Guy Green
1683,Name a movie directed by this director?,Sophia Takal,this director,./A photo of Sophia Takal
1684,Name a movie directed by this director?,Rachel Talalay,this director,./A photo of Rachel Talalay
1685,Name a movie directed by this director?,Gus Van Sant,this director,./A photo of Gus Van Sant
1686,Name a movie directed by this director?,Charles Shyer,this director,./A photo of Charles Shyer
1687,Name a movie directed by this director?,Mike Mitchell,this director,./A photo of Mike Mitchell
1688,Name a movie directed by this director?,Paul Lynch,this director,./A photo of Paul Lynch
1689,Name a movie directed by this director?,Roger Michell,this director,./A photo of Roger Michell
1690,Name a movie directed by this director?,John Luessenhop,this director,./A photo of John Luessenhop
1691,Name a movie directed by this director?,Victor Schertzinger,this director,./A photo of Victor Schertzinger
1692,Name a movie directed by this director?,Lukas Dhont,this director,./A photo of Lukas Dhont
1693,Name a movie directed by this director?,Serdar Akar,this director,./A photo of Serdar Akar
1694,Name a movie directed by this director?,Derick Martini,this director,./A photo of Derick Martini
1695,Name a movie directed by this director?,Joshua Oppenheimer,this director,./A photo of Joshua Oppenheimer
1696,Name a movie directed by this director?,Ami Canaan Mann,this director,./A photo of Ami Canaan Mann
1697,Name a movie directed by this director?,Lauro David Chartrand-DelValle,this director,./A photo of Lauro David Chartrand-DelValle
1698,Name a movie directed by this director?,Harold Young,this director,./A photo of Harold Young
1699,Name a movie directed by this director?,Raoul Walsh,this director,./A photo of Raoul Walsh
1700,Name a movie directed by this director?,Callie Khouri,this director,./A photo of Callie Khouri
1701,Name a movie directed by this director?,François Leterrier,this director,./A photo of François Leterrier
1702,Name a movie directed by this director?,Kenneth Lonergan,this director,./A photo of Kenneth Lonergan
1703,Name a movie directed by this director?,Keith Gordon,this director,./A photo of Keith Gordon
1704,Name a movie directed by this director?,Stewart Hendler,this director,./A photo of Stewart Hendler
1705,Name a movie directed by this director?,John Cassavetes,this director,./A photo of John Cassavetes
1706,Name a movie directed by this director?,Mark Jones,this director,./A photo of Mark Jones
1707,Name a movie directed by this director?,Anna Melikian,this director,./A photo of Anna Melikian
1708,Name a movie directed by this director?,Barry Skolnick,this director,./A photo of Barry Skolnick
1709,Name a movie directed by this director?,James Dearden,this director,./A photo of James Dearden
1710,Name a movie directed by this director?,Katsuhiro Otomo,this director,./A photo of Katsuhiro Otomo
1711,Name a movie directed by this director?,Keoni Waxman,this director,./A photo of Keoni Waxman
1712,Name a movie directed by this director?,Milton Katselas,this director,./A photo of Milton Katselas
1713,Name a movie directed by this director?,John Michael McDonagh,this director,./A photo of John Michael McDonagh
1714,Name a movie directed by this director?,Jeff Nichols,this director,./A photo of Jeff Nichols
1715,Name a movie directed by this director?,Ubaldo Ragona,this director,./A photo of Ubaldo Ragona
1716,Name a movie directed by this director?,Christopher Cain,this director,./A photo of Christopher Cain
1717,Name a movie directed by this director?,Jonathan Teplitzky,this director,./A photo of Jonathan Teplitzky
1718,Name a movie directed by this director?,Vasily Shukshin,this director,./A photo of Vasily Shukshin
1719,Name a movie directed by this director?,Harold Cronk,this director,./A photo of Harold Cronk
1720,Name a movie directed by this director?,John Berry,this director,./A photo of John Berry
1721,Name a movie directed by this director?,Ali Abbasi,this director,./A photo of Ali Abbasi
1722,Name a movie directed by this director?,Graham Baker,this director,./A photo of Graham Baker
1723,Name a movie directed by this director?,Aaron Harvey,this director,./A photo of Aaron Harvey
1724,Name a movie directed by this director?,Christian E. Christiansen,this director,./A photo of Christian E. Christiansen
1725,Name a movie directed by this director?,Ljubomir Stefanov,this director,./A photo of Ljubomir Stefanov
1726,Name a movie directed by this director?,Chester Erskine,this director,./A photo of Chester Erskine
1727,Name a movie directed by this director?,Dean Parisot,this director,./A photo of Dean Parisot
1728,Name a movie directed by this director?,Thornton Freeland,this director,./A photo of Thornton Freeland
1729,Name a movie directed by this director?,Jim Fall,this director,./A photo of Jim Fall
1730,Name a movie directed by this director?,Marco Ferreri,this director,./A photo of Marco Ferreri
1731,Name a movie directed by this director?,Chris Kraus,this director,./A photo of Chris Kraus
1732,Name a movie directed by this director?,Julie Anne Robinson,this director,./A photo of Julie Anne Robinson
1733,Name a movie directed by this director?,Yōji Yamada,this director,./A photo of Yōji Yamada
1734,Name a movie directed by this director?,Feroz Abbas Khan,this director,./A photo of Feroz Abbas Khan
1735,Name a movie directed by this director?,Stiles White,this director,./A photo of Stiles White
1736,Name a movie directed by this director?,John Cameron Mitchell,this director,./A photo of John Cameron Mitchell
1737,Name a movie directed by this director?,Andrzej Wajda,this director,./A photo of Andrzej Wajda
1738,Name a movie directed by this director?,Kevin Spacey,this director,./A photo of Kevin Spacey
1739,Name a movie directed by this director?,Toby Haynes,this director,./A photo of Toby Haynes
1740,Name a movie directed by this director?,Shonali Bose,this director,./A photo of Shonali Bose
1741,Name a movie directed by this director?,Yevgeny Sherstobitov,this director,./A photo of Yevgeny Sherstobitov
1742,Name a movie directed by this director?,David France,this director,./A photo of David France
1743,Name a movie directed by this director?,Erik Balling,this director,./A photo of Erik Balling
1744,Name a movie directed by this director?,Sergei Eisenstein,this director,./A photo of Sergei Eisenstein
1745,Name a movie directed by this director?,Alan Rickman,this director,./A photo of Alan Rickman
1746,Name a movie directed by this director?,Mario Bonnard,this director,./A photo of Mario Bonnard
1747,Name a movie directed by this director?,André Cayatte,this director,./A photo of André Cayatte
1748,Name a movie directed by this director?,Luke Greenfield,this director,./A photo of Luke Greenfield
1749,Name a movie directed by this director?,Wolfgang Becker,this director,./A photo of Wolfgang Becker
1750,Name a movie directed by this director?,Scott Moore,this director,./A photo of Scott Moore
1751,Name a movie directed by this director?,Éric Valli,this director,./A photo of Éric Valli
1752,Name a movie directed by this director?,Garth Davis,this director,./A photo of Garth Davis
1753,Name a movie directed by this director?,Ethan Wiley,this director,./A photo of Ethan Wiley
1754,Name a movie directed by this director?,Tim Story,this director,./A photo of Tim Story
1755,Name a movie directed by this director?,Sean McNamara,this director,./A photo of Sean McNamara
1756,Name a movie directed by this director?,Lu Chuan,this director,./A photo of Lu Chuan
1757,Name a movie directed by this director?,Jang Hang-jun,this director,./A photo of Jang Hang-jun
1758,Name a movie directed by this director?,Emir Kusturica,this director,./A photo of Emir Kusturica
1759,Name a movie directed by this director?,Robert Bresson,this director,./A photo of Robert Bresson
1760,Name a movie directed by this director?,Michael Bay,this director,./A photo of Michael Bay
1761,Name a movie directed by this director?,Joel Gallen,this director,./A photo of Joel Gallen
1762,Name a movie directed by this director?,Faruk Aksoy,this director,./A photo of Faruk Aksoy
1763,Name a movie directed by this director?,Macon Blair,this director,./A photo of Macon Blair
1764,Name a movie directed by this director?,Gary Sinyor,this director,./A photo of Gary Sinyor
1765,Name a movie directed by this director?,Anurag Kashyap,this director,./A photo of Anurag Kashyap
1766,Name a movie directed by this director?,Danny Leiner,this director,./A photo of Danny Leiner
1767,Name a movie directed by this director?,Nigel Cole,this director,./A photo of Nigel Cole
1768,Name a movie directed by this director?,Kevin Munroe,this director,./A photo of Kevin Munroe
1769,Name a movie directed by this director?,Tim McCanlies,this director,./A photo of Tim McCanlies
1770,Name a movie directed by this director?,Yılmaz Erdoğan,this director,./A photo of Yılmaz Erdoğan
1771,Name a movie directed by this director?,Yuli Raizman,this director,./A photo of Yuli Raizman
1772,Name a movie directed by this director?,Tetsuya Nakashima,this director,./A photo of Tetsuya Nakashima
1773,Name a movie directed by this director?,Stephen Frears,this director,./A photo of Stephen Frears
1774,Name a movie directed by this director?,Tamra Davis,this director,./A photo of Tamra Davis
1775,Name a movie directed by this director?,Hema Malini,this director,./A photo of Hema Malini
1776,Name a movie directed by this director?,Luke Snellin,this director,./A photo of Luke Snellin
1777,Name a movie directed by this director?,Seth Gordon,this director,./A photo of Seth Gordon
1778,Name a movie directed by this director?,Claire Denis,this director,./A photo of Claire Denis
1779,Name a movie directed by this director?,Khalid Mohamed,this director,./A photo of Khalid Mohamed
1780,Name a movie directed by this director?,Adam Berg,this director,./A photo of Adam Berg
1781,Name a movie directed by this director?,David Zucker,this director,./A photo of David Zucker
1782,Name a movie directed by this director?,Ralph Thomas,this director,./A photo of Ralph Thomas
1783,Name a movie directed by this director?,Erik Van Looy,this director,./A photo of Erik Van Looy
1784,Name a movie directed by this director?,Ursula Meier,this director,./A photo of Ursula Meier
1785,Name a movie directed by this director?,Jim Rash,this director,./A photo of Jim Rash
1786,Name a movie directed by this director?,Stephen Daldry,this director,./A photo of Stephen Daldry
1787,Name a movie directed by this director?,Victor Salva,this director,./A photo of Victor Salva
1788,Name a movie directed by this director?,Noël Coward,this director,./A photo of Noël Coward
1789,Name a movie directed by this director?,Christian Alvart,this director,./A photo of Christian Alvart
1790,Name a movie directed by this director?,Yoichi Mori,this director,./A photo of Yoichi Mori
1791,Name a movie directed by this director?,Robert Kenner,this director,./A photo of Robert Kenner
1792,Name a movie directed by this director?,Sam Taylor,this director,./A photo of Sam Taylor
1793,Name a movie directed by this director?,John Butler,this director,./A photo of John Butler
1794,Name a movie directed by this director?,Arthur Lubin,this director,./A photo of Arthur Lubin
1795,Name a movie directed by this director?,Miloš Forman,this director,./A photo of Miloš Forman
1796,Name a movie directed by this director?,Darren Grant,this director,./A photo of Darren Grant
1797,Name a movie directed by this director?,David Siegel,this director,./A photo of David Siegel
1798,Name a movie directed by this director?,Kiran Rao,this director,./A photo of Kiran Rao
1799,Name a movie directed by this director?,J. A. Bayona,this director,./A photo of J. A. Bayona
1800,Name a movie directed by this director?,Anthony Mann,this director,./A photo of Anthony Mann
1801,Name a movie directed by this director?,Jane Lipsitz,this director,./A photo of Jane Lipsitz
1802,Name a movie directed by this director?,Samuel Fuller,this director,./A photo of Samuel Fuller
1803,Name a movie directed by this director?,Mel Brooks,this director,./A photo of Mel Brooks
1804,Name a movie directed by this director?,Declan O'Brien,this director,./A photo of Declan O'Brien
1805,Name a movie directed by this director?,André Téchiné,this director,./A photo of André Téchiné
1806,Name a movie directed by this director?,Vondie Curtis-Hall,this director,./A photo of Vondie Curtis-Hall
1807,Name a movie directed by this director?,Kelly Asbury,this director,./A photo of Kelly Asbury
1808,Name a movie directed by this director?,Corneliu Porumboiu,this director,./A photo of Corneliu Porumboiu
1809,Name a movie directed by this director?,Marcel Pagnol,this director,./A photo of Marcel Pagnol
1810,Name a movie directed by this director?,Antonio Campos,this director,./A photo of Antonio Campos
1811,Name a movie directed by this director?,Stanley Kramer,this director,./A photo of Stanley Kramer
1812,Name a movie directed by this director?,Tarun Mansukhani,this director,./A photo of Tarun Mansukhani
1813,Name a movie directed by this director?,Oles Sanin,this director,./A photo of Oles Sanin
1814,Name a movie directed by this director?,Patrick Tatopoulos,this director,./A photo of Patrick Tatopoulos
1815,Name a movie directed by this director?,Slatan Dudow,this director,./A photo of Slatan Dudow
1816,Name a movie directed by this director?,Paul Leni,this director,./A photo of Paul Leni
1817,Name a movie directed by this director?,Matthieu Delaporte,this director,./A photo of Matthieu Delaporte
1818,Name a movie directed by this director?,Matt Brown,this director,./A photo of Matt Brown
1819,Name a movie directed by this director?,Richard Oswald,this director,./A photo of Richard Oswald
1820,Name a movie directed by this director?,Andrew Waller,this director,./A photo of Andrew Waller
1821,Name a movie directed by this director?,Shadi Abdel Salam,this director,./A photo of Shadi Abdel Salam
1822,Name a movie directed by this director?,Riccardo Freda,this director,./A photo of Riccardo Freda
1823,Name a movie directed by this director?,Juan J. Campanella,this director,./A photo of Juan J. Campanella
1824,Name a movie directed by this director?,Henry Cornelius,this director,./A photo of Henry Cornelius
1825,Name a movie directed by this director?,Ronald F. Maxwell,this director,./A photo of Ronald F. Maxwell
1826,Name a movie directed by this director?,Ron Howard,this director,./A photo of Ron Howard
1827,Name a movie directed by this director?,Kazuaki Kiriya,this director,./A photo of Kazuaki Kiriya
1828,Name a movie directed by this director?,Thomas Guard,this director,./A photo of Thomas Guard
1829,Name a movie directed by this director?,John Sayles,this director,./A photo of John Sayles
1830,Name a movie directed by this director?,David Lowell Rich,this director,./A photo of David Lowell Rich
1831,Name a movie directed by this director?,Sam Hargrave,this director,./A photo of Sam Hargrave
1832,Name a movie directed by this director?,Christian Marquand,this director,./A photo of Christian Marquand
1833,Name a movie directed by this director?,Jamie Linden,this director,./A photo of Jamie Linden
1834,Name a movie directed by this director?,Patrice Chéreau,this director,./A photo of Patrice Chéreau
1835,Name a movie directed by this director?,George Ogilvie,this director,./A photo of George Ogilvie
1836,Name a movie directed by this director?,Garry Marshall,this director,./A photo of Garry Marshall
1837,Name a movie directed by this director?,Phyllida Lloyd,this director,./A photo of Phyllida Lloyd
1838,Name a movie directed by this director?,Ciro Guerra,this director,./A photo of Ciro Guerra
1839,Name a movie directed by this director?,Daniel Monzón,this director,./A photo of Daniel Monzón
1840,Name a movie directed by this director?,Steve Bendelack,this director,./A photo of Steve Bendelack
1841,Name a movie directed by this director?,Sujoy Ghosh,this director,./A photo of Sujoy Ghosh
1842,Name a movie directed by this director?,David Cronenberg,this director,./A photo of David Cronenberg
1843,Name a movie directed by this director?,Bob Saget,this director,./A photo of Bob Saget
1844,Name a movie directed by this director?,Alexei Navalny,this director,./A photo of Alexei Navalny
1845,Name a movie directed by this director?,Stephen Gyllenhaal,this director,./A photo of Stephen Gyllenhaal
1846,Name a movie directed by this director?,Mark Herman,this director,./A photo of Mark Herman
1847,Name a movie directed by this director?,Jens Lien,this director,./A photo of Jens Lien
1848,Name a movie directed by this director?,Paul Brickman,this director,./A photo of Paul Brickman
1849,Name a movie directed by this director?,Ivan Passer,this director,./A photo of Ivan Passer
1850,Name a movie directed by this director?,Rodrigo Cortés,this director,./A photo of Rodrigo Cortés
1851,Name a movie directed by this director?,Nicolas Philibert,this director,./A photo of Nicolas Philibert
1852,Name a movie directed by this director?,Patricia Riggen,this director,./A photo of Patricia Riggen
1853,Name a movie directed by this director?,Dan Fogelman,this director,./A photo of Dan Fogelman
1854,Name a movie directed by this director?,Jean-Paul Rappeneau,this director,./A photo of Jean-Paul Rappeneau
1855,Name a movie directed by this director?,Michael Lehmann,this director,./A photo of Michael Lehmann
1856,Name a movie directed by this director?,Jonathan Glazer,this director,./A photo of Jonathan Glazer
1857,Name a movie directed by this director?,Thea Sharrock,this director,./A photo of Thea Sharrock
1858,Name a movie directed by this director?,Michael Oblowitz,this director,./A photo of Michael Oblowitz
1859,Name a movie directed by this director?,Just Jaeckin,this director,./A photo of Just Jaeckin
1860,Name a movie directed by this director?,Chris Noonan,this director,./A photo of Chris Noonan
1861,Name a movie directed by this director?,Paul Mayeda Berges,this director,./A photo of Paul Mayeda Berges
1862,Name a movie directed by this director?,Roar Uthaug,this director,./A photo of Roar Uthaug
1863,Name a movie directed by this director?,Eric Bress,this director,./A photo of Eric Bress
1864,Name a movie directed by this director?,Goran Radovanović,this director,./A photo of Goran Radovanović
1865,Name a movie directed by this director?,Gavin Hood,this director,./A photo of Gavin Hood
1866,Name a movie directed by this director?,Georges Franju,this director,./A photo of Georges Franju
1867,Name a movie directed by this director?,Hans Weingartner,this director,./A photo of Hans Weingartner
1868,Name a movie directed by this director?,John Maybury,this director,./A photo of John Maybury
1869,Name a movie directed by this director?,Ermanno Olmi,this director,./A photo of Ermanno Olmi
1870,Name a movie directed by this director?,Olivier Assayas,this director,./A photo of Olivier Assayas
1871,Name a movie directed by this director?,Sebastián Silva,this director,./A photo of Sebastián Silva
1872,Name a movie directed by this director?,Fred Schepisi,this director,./A photo of Fred Schepisi
1873,Name a movie directed by this director?,Aleksei Yuryevich German,this director,./A photo of Aleksei Yuryevich German
1874,Name a movie directed by this director?,Edoardo Ponti,this director,./A photo of Edoardo Ponti
1875,Name a movie directed by this director?,Jean Girault,this director,./A photo of Jean Girault
1876,Name a movie directed by this director?,Jesse Hibbs,this director,./A photo of Jesse Hibbs
1877,Name a movie directed by this director?,Junya Satō,this director,./A photo of Junya Satō
1878,Name a movie directed by this director?,Edmund Goulding,this director,./A photo of Edmund Goulding
1879,Name a movie directed by this director?,Alfred Santell,this director,./A photo of Alfred Santell
1880,Name a movie directed by this director?,Ben Affleck,this director,./A photo of Ben Affleck
1881,Name a movie directed by this director?,Christophe Honoré,this director,./A photo of Christophe Honoré
1882,Name a movie directed by this director?,Sam Wood,this director,./A photo of Sam Wood
1883,Name a movie directed by this director?,Michael Dougherty,this director,./A photo of Michael Dougherty
1884,Name a movie directed by this director?,Will Sharpe,this director,./A photo of Will Sharpe
1885,Name a movie directed by this director?,Grigori Kozintsev,this director,./A photo of Grigori Kozintsev
